iter	Passed	Remaining
401	16975	4138
402	17015	4095
403	17061	4054
404	17099	4011
405	17144	3969
406	17180	3925
407	17223	3883
408	17259	3840
409	17302	3798
410	17341	3755
411	17387	3713
412	17432	3672
413	17473	3629
414	17516	3587
415	17559	3545
416	17593	3501
417	17636	3459
418	17676	3417
419	17718	3374
420	17760	3332
421	17794	3289
422	17842	3247
423	17880	3205
424	17926	3163
425	17969	3121
426	18010	3079
427	18059	3038
428	18104	2996
429	18144	2953
430	18184	2911
431	18225	2868
432	18269	2826
433	18318	2785
434	18362	2743
435	18406	2701
436	18448	2659
437	18496	2618
438	18533	2575
439	18577	2533
440	18615	2490
441	18654	2447
442	18696	2405
443	18743	2364
444	18787	2322
445	18834	2280
446	18882	2238
447	18935	2197
448	18977	2155
449	19025	2113
450	19072	2072
451	19116	2030
452	19159	1987
453	19205	1945
454	19253	1904
455	19297	1862
456	19338	1819
457	19380	1777
458	19427	1735
459	19467	1692
460	19509	1650
461	19554	1608
462	19594	1565
463	19635	1523
464	19679	1481
465	19724	1439
466	19769	1397
467	19812	1354
468	19855	1312
469	19907	1270
470	19952	1228
471	19987	1185
472	20031	1143
473	20074	1101
474	20120	1058
475	20158	1016
476	20203	974
477	20246	931
478	20284	889
479	20321	846
480	20367	804
481	20418	762
482	20460	720
483	20506	677
484	20553	635
485	20601	593
486	20638	550
487	20686	508
488	20735	466
489	20770	423
490	20813	381
491	20858	339
492	20906	296
493	20945	254
494	20989	212
495	21026	169
496	21073	127
497	21119	84
498	21155	42
499	21199	0
