iter	RMSE
250	0.3565280248
251	0.3561416448
252	0.3558691446
253	0.3556139416
254	0.355413871
255	0.3551404711
256	0.3549323791
257	0.3547078567
258	0.3545832775
259	0.3544541855
260	0.3542843089
261	0.3540424563
262	0.353831065
263	0.3536170158
264	0.353435874
265	0.3530909319
266	0.352659746
267	0.3525248796
268	0.3523548893
269	0.3522514553
270	0.3520028293
271	0.351794622
272	0.351531691
273	0.3513712683
274	0.3511602367
275	0.3510215783
276	0.3506775005
277	0.3504958485
278	0.3503402683
279	0.3501736497
280	0.350009351
281	0.3498459999
282	0.3496240045
283	0.3491969776
284	0.3490749664
285	0.3489258647
286	0.3487257675
287	0.3486000659
288	0.3484166809
289	0.3482593966
290	0.3481215554
291	0.3479380323
292	0.3477080364
293	0.3473728526
294	0.3472310859
295	0.3470610409
296	0.3469534579
297	0.3466895739
298	0.3465426376
299	0.3463955438
300	0.3462181347
301	0.3460603834
302	0.3458548239
303	0.3456452238
304	0.3454411836
305	0.3453046373
306	0.3451508667
307	0.3447714409
308	0.3446349435
309	0.344471109
310	0.3442824707
311	0.3440984943
312	0.3439667727
313	0.3437407434
314	0.3435571514
315	0.3434416489
316	0.3432929314
317	0.3431648847
318	0.3430140971
319	0.3429060611
320	0.34275671
321	0.3425720463
322	0.3423930491
323	0.3421448238
324	0.3419459388
325	0.341799702
326	0.3415439799
327	0.3413972808
328	0.3410996975
329	0.3409190073
330	0.3407540729
331	0.3406377057
332	0.3405231748
333	0.340361143
334	0.3402437366
335	0.3401124316
336	0.3399920894
337	0.3398074466
338	0.3396439394
339	0.3395444603
340	0.3393838342
341	0.3392119695
342	0.3390774742
343	0.338927178
344	0.3387722884
345	0.3385410512
346	0.3384302124
347	0.3382241161
348	0.3380713691
349	0.3379178351
350	0.337802567
351	0.3376788078
352	0.3375242531
353	0.3373777972
354	0.3372546808
355	0.3371699668
356	0.3370258409
357	0.3368737514
358	0.3367466167
359	0.3365754039
360	0.3364533369
361	0.3363002562
362	0.3361384149
363	0.3358772753
364	0.3357462059
365	0.3356324284
366	0.3354649089
367	0.3353097321
368	0.3351465877
369	0.3350113429
370	0.3348899268
371	0.3347732548
372	0.3346294151
373	0.3344215047
374	0.33425546
375	0.3341089073
376	0.3340001592
377	0.3338792154
378	0.3337306196
379	0.3335514514
380	0.3334485443
381	0.3333414312
382	0.333239957
383	0.3331233201
384	0.3330347664
385	0.3328512205
386	0.3327655185
387	0.3326620033
388	0.3324270368
389	0.3322914952
390	0.3321534325
391	0.3320344426
392	0.3318995631
393	0.3318038731
394	0.3316775685
395	0.3315299256
396	0.3313890518
397	0.3312393866
398	0.3311357811
399	0.3310305307
400	0.3307844639
401	0.3306883449
402	0.3305613534
403	0.3304790194
404	0.3303459951
405	0.3301397775
406	0.3300371585
407	0.3297381333
408	0.3295720404
409	0.329489015
410	0.329367671
411	0.3292603034
412	0.329135375
413	0.3290074443
414	0.328807443
415	0.3285893589
416	0.3285039152
417	0.328378111
418	0.3282468359
419	0.3281551476
420	0.3280785426
421	0.3279668801
422	0.3277448749
423	0.3275505614
424	0.3274672675
425	0.3273308735
426	0.327203216
427	0.3270637599
428	0.3269445279
429	0.3267943884
430	0.3266950603
431	0.3265657141
432	0.3262982387
433	0.3261727109
434	0.3259933247
435	0.3258677896
436	0.325715397
437	0.3255346143
438	0.3254602982
439	0.3253466418
440	0.3252135365
441	0.3250737988
442	0.3250000503
443	0.3248751078
444	0.3247470975
445	0.3245696383
446	0.3244380066
447	0.3242976336
448	0.324206916
449	0.3240709913
450	0.3239274248
451	0.3238025576
452	0.3236968378
453	0.3235834905
454	0.323456098
455	0.3231465627
456	0.3230479438
457	0.3229362102
458	0.3228060723
459	0.3227346354
460	0.3226285623
461	0.3225262266
462	0.3224518004
463	0.3223353539
464	0.3221479367
465	0.3220509678
466	0.3219264488
467	0.3218152642
468	0.3216765912
469	0.321540853
470	0.3213551742
471	0.3212912735
472	0.3211373258
473	0.3210553422
474	0.3208763871
475	0.3207765499
476	0.3205882407
477	0.3203759052
478	0.3202639695
479	0.3201803406
480	0.3200819256
481	0.3199937214
482	0.3199049295
483	0.3197631351
484	0.3196539754
485	0.3195385124
486	0.319463975
487	0.3193743333
488	0.3192274499
489	0.3191311737
490	0.318973466
491	0.3188432535
492	0.3187461148
493	0.3186744378
494	0.3185943918
495	0.3184346389
496	0.3183117579
497	0.3181927452
498	0.3181493051
499	0.317957328
